artist_id,genre
5MP9bH9aUryiKQeUvABLIU,cumbia
5MP9bH9aUryiKQeUvABLIU,grupera
5MP9bH9aUryiKQeUvABLIU,latin
5MP9bH9aUryiKQeUvABLIU,regional mexican
5MP9bH9aUryiKQeUvABLIU,tejano
5MP9bH9aUryiKQeUvABLIU,tropical
3uuPMhG3hFjDQwMat8Zj9b,eurodance
3uuPMhG3hFjDQwMat8Zj9b,hip house
0LcJLqbBmaGUft1e9Mm8HV,europop
0LcJLqbBmaGUft1e9Mm8HV,swedish pop
2s79xe5F6eUQkjwjww27Fh,art rock
2s79xe5F6eUQkjwjww27Fh,dance rock
2s79xe5F6eUQkjwjww27Fh,disco
2s79xe5F6eUQkjwjww27Fh,new romantic
2s79xe5F6eUQkjwjww27Fh,new wave
2s79xe5F6eUQkjwjww27Fh,new wave pop
2s79xe5F6eUQkjwjww27Fh,soft rock
2s79xe5F6eUQkjwjww27Fh,synthpop
5Mh88m8n53h0AOdocE0Rbv,deep southern trap
5Mh88m8n53h0AOdocE0Rbv,dirty south rap
5Mh88m8n53h0AOdocE0Rbv,gangster rap
711MCceyCBcFnzjGY4Q7Un,album rock
711MCceyCBcFnzjGY4Q7Un,classic rock
711MCceyCBcFnzjGY4Q7Un,hard rock
711MCceyCBcFnzjGY4Q7Un,heavy christmas
711MCceyCBcFnzjGY4Q7Un,rock
19I4tYiChJoxEO5EuviXpz,alternative metal
19I4tYiChJoxEO5EuviXpz,emo
19I4tYiChJoxEO5EuviXpz,modern rock
19I4tYiChJoxEO5EuviXpz,nu metal
19I4tYiChJoxEO5EuviXpz,pop punk
19I4tYiChJoxEO5EuviXpz,post-grunge
19I4tYiChJoxEO5EuviXpz,punk
19I4tYiChJoxEO5EuviXpz,screamo
19I4tYiChJoxEO5EuviXpz,skate punk
6s22t5Y3prQHyaHWUN1R1C,modern rock
4njdEjTnLfcGImKZu1iSrz,alternative rock
4njdEjTnLfcGImKZu1iSrz,la indie
4njdEjTnLfcGImKZu1iSrz,modern rock
4njdEjTnLfcGImKZu1iSrz,stomp pop
7HqrSDuI9lHuH1CDismTFg,alternative hip hop
7HqrSDuI9lHuH1CDismTFg,dirty south rap
7HqrSDuI9lHuH1CDismTFg,gangster rap
7HqrSDuI9lHuH1CDismTFg,hardcore hip hop
7HqrSDuI9lHuH1CDismTFg,hip hop
7HqrSDuI9lHuH1CDismTFg,hip pop
7HqrSDuI9lHuH1CDismTFg,rap
7HqrSDuI9lHuH1CDismTFg,southern hip hop
0urTpYCsixqZwgNTkPJOJ4,dance pop
