found_name,genres,read_name,spotify_id
Afroman,"['gangster rap', 'hip hop', 'pop christmas', 'rap']",Afroman,4Icvbp9RDt5aY2TWDOVDsr
After 7,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",After 7,4UPcJIhr5K5fPsm4itqT7E
After The Fire,[],After The Fire,194g4SFwSSzyPtgkH7v3Cx
AFTeRSHOCK,[],Aftershock,0jCHApSDR3vF0SA4fparz1
,[],Agatha Lee Monn & Katie Lopez,
Agnetha Fältskog,"['europop', 'swedish pop']",Agnetha Faltskog,7fUtt9kVZOyn9LWy0JbDRI
Ahmad Jamal,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz piano', 'latin jazz', 'soul jazz', 'stride', 'vocal jazz']",Ahmad,6gc6oo3u2f7SqTd4mhe81O
Aimee Mann,"['alternative pop', 'anti-folk', 'folk', 'folk christmas', 'folk-pop', 'lilith', 'new wave pop', 'permanent wave', 'pop christmas', 'pop rock', 'singer-songwriter']",Aimee Mann,3UpIbyXfGzmHG6TMH4dJEk
Air Kalo,[],Air Kalo,6KciZcLFqSKOEcXWN9c0kC
Air Supply,"['mellow gold', 'soft rock']",Air Supply,4xXCRXOfQKQ2gjWxNhNzYW
Angels & Airwaves,"['emo', 'modern rock', 'pop rock']",Airwaves,7xklw3WodFZiNNmQt3DIgp
Akon,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",Akon,0z4gvV4rjIZ9wHck67ucSV
,[],Al (He's the King,
Al B. Sure!,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']",Al B. Sure!,1fvz0vd4P0LNMkAysF1ivk
,[],Al Brown's Tunetoppers,
Al Caiola & His Orchestra,[],Al Caiola And His Orchestra,1BmAXzXzBf7e7kpJN3cRtm
Al Casey,['surf music'],Al Casey,1HplhaIu7J9Qh9rllqt572
Al Casey Combo,[],Al Casey Combo,7yhJI9xtH2OP5DRPL6eibf
,[],Al Corley,
Al DeLory,[],Al DeLory,3qFVpbWBPJhBNaEDVazsxz
Big Al Downing,[],Al Downing,1sGeKMv93BTqkIShKWlR8Z
Al Green,"['chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'memphis soul', 'neo soul', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']",Al Green,3dkbV4qihUeMsqN4vBGg93
,[],Al Greene & The Soul Mate's,
Al Hirt,"['dixieland', 'easy listening', 'exotica', 'jazz christmas', 'jazz trumpet', 'lounge', 'new orleans jazz']",Al Hirt,0TGsWvnbtExsbGUSWtXENE
Al Jarreau,"['adult standards', 'classic funk rock', 'disco', 'jazz christmas', 'jazz funk', 'quiet storm', 'smooth jazz', 'vocal jazz']",Al Jarreau,3YR92OLKlvkK5oKNekSqXe
Al Kent,[],Al Kent,2JpeL8UPpvsTSaocrKi1Z0
Al Martino,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'vocal jazz']",Al Martino,7egNqIGRldMzifHoh8pib6
Al Stewart,"['album rock', 'art rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'singer-songwriter', 'soft rock', 'symphonic rock']",Al Stewart,0DW7boyjvbaSP3OJ72sXgC
Al Wilson,"['chicago soul', 'motown', 'northern soul']",Al Wilson,2RwV62DIxFGEn8aWO3iaMM
Alabama,"['contemporary country', 'country', 'country christmas', 'country road', 'country rock', 'outlaw country', 'southern rock', 'traditional country']",Alabama,6rJqqRce0Kvo2dJUXoHleC
Alabama Shakes,"['folk-pop', 'funk', 'garage rock', 'indie folk', 'indie pop', 'modern blues', 'modern rock', 'stomp and holler']",Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh
Alan Aguero,[],Alan Aguero,3Y5pHH4Omxc7RRaqS6XFcK
Alan Jackson,"['contemporary country', 'country', 'country christmas', 'country road', 'traditional country']",Alan Jackson,4mxWe1mtYIYfP040G38yvS
,[],Alan Jackson & Jimmy Buffett,
Alan O'Day,[],Alan O'Day,63f6RFsOlwDMnAuDwjB58Y
The Alan Parsons Project,"['album rock', 'art rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",Alan Parsons,2m62cc253Xvd9qYQ8d2X3d
Alan Price Set,['british invasion'],Alan Price Set,6pOrc5h4n7xNrsiR9qkEZS
Alan Walker,['tropical house'],Alan Walker,7vk5e3vY1uw9plTHJAMwjN
Alana Davis,"['folk', 'folk christmas', 'folk-pop', 'lilith']",Alana Davis,2CQdVOUWYfEbxhWTgQdUwm
Alanis Morissette,"['alternative rock', 'canadian pop', 'dance pop', 'folk-pop', 'lilith', 'new wave pop', 'pop rock']",Alanis Morissette,6ogn9necmbUdCppmNnGOdi
Alannah Myles,['new wave pop'],Alannah Myles,6IYnSXO40Bh7Zdqhf6rQoj
"Albert Hammond, Jr.","['dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'punk blues']",Albert Hammond,1Li0eIWeMeWcOOWpImcG9H
Albert King,"['acoustic blues', 'blues', 'blues-rock', 'british blues', 'chicago blues', 'classic rock', 'country blues', 'delta blues', 'electric blues', 'harmonica blues', 'jazz blues', 'jazz christmas', 'louisiana blues', 'memphis blues', 'memphis soul', 'modern blues', 'soul', 'soul blues', 'soul christmas', 'swamp blues', 'texas blues', 'traditional blues']",Albert King,5aygfDCEaX5KTZOxSCpT9o
Aldo Nova,"['album rock', 'canadian metal', 'glam metal', 'hard rock']",Aldo Nova,3jtTd1E9mBxYYU987s32Fm
Alec Joseph,[],Alec Joseph,5Qq0XKw1W1jzVAcyYkckkr
Alejandro Sanz,"['cantautor', 'latin', 'latin arena pop', 'latin christmas', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop', 'tropical']",Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF
Ben Alessi,[],Alessi,4M88y0JcR2TS56CBoRzZSo
Alessia Cara,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR
Alesso,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",Alesso,4AVFqumd2ogHFlRbKIjp1t
,[],Alex Band Or Chad Kroeger,
Alex Brown,[],Alex Brown,6Xsn53QJFuVm7CBIj5N7xQ
Alex Clare,[],Alex Clare,5Tf4EH8tDvznnjULcFxkIl
Alex Newell,"['indie poptimism', 'strut']",Alex Newell,2vGaSKEDFsVPBgcnGxqlBN
Alexander O'Neal,"['classic funk rock', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul christmas', 'urban contemporary']",Alexander O'Neal,047D9GgqEzyMoULd2oKr7G
Alexander Scriabin,"['classical', 'early modern classical']",Alexander Scriabin,6nZiWg5ZB511S24WmB7TCV
Alexandra Stan,"['dance pop', 'europop']",Alexandra Stan,0BmLNz4nSLfoWYW1cYsElL
Alexis Jordan,[],Alexis Jordan,5LmYIx9kSWBJOWbP4xAxb1
Alfonzo Hunter,[],Alfonzo Hunter,1JWpzwcWgItQFHLRJ1fRKr
Brother Ali,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'underground rap']",Ali,6CsleyOZtyt16saX8WhzDx
Ali Thomson,[],Ali Thomson,57BUG40Gg14VfiPiK9KedB
Sevn Alias,"['deep dutch hip hop', 'dutch hip hop']",Alias,0HDMwoCS316xhKCZlJPBnc
Alice Bowie,[],Alice Bowie,4tV9mbi2E0rUMcyFwfO42O
Alice Cooper,"['album rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'heavy christmas', 'metal', 'protopunk', 'rock']",Alice Cooper,3EhbVgyfGd7HkpsagwL9GS
Alice Deejay,"['bubble trance', 'bubblegum dance', 'eurodance', 'europop', 'hip house']",Alice Deejay,0aNCjE72yyrhKQB1qfPBpi
Alice In Chains,"['album rock', 'alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Alice In Chains,64tNsm6TnZe2zpcMVMOoHL
,[],Alice Wonder Land,
Alicia Bridges,['disco'],Alicia Bridges,1UY4oIFpjCKe5qIhKDcloe
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'pop christmas', 'post-teen pop', 'r&b', 'urban contemporary']",Alicia Keys,3DiDSECUqqY1AuBP8qtaIa
Alien Ant Farm,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock']",Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO
Alisa Ueno,[],Alisa Ueno,0WuYfDB2hAYzybfAd75fvb
Alisan Porter,[],Alisan Porter,3Yw2flLUwQIZgpA2qSNj30
Alisha Chinai,"['desi', 'filmi', 'indian pop', 'sufi']",Alisha,4mBxoO0pAcMbAwuTcrcLMc
Alison Gold,[],Alison Gold,7hke13keEUFw9XHy6wI3gc
Alison Krauss,"['bluegrass', 'contemporary country', 'country christmas', 'folk', 'lilith', 'progressive bluegrass']",Alison Krauss,5J6L7N6B4nI1M5cwa29mQG
,[],Alison Krauss & Billy Dean,
Alison Krauss & Union Station,"['bluegrass', 'progressive bluegrass']",Alison Krauss + Union Station,0OTnx2X2FDXeewcm72lavT
Alison Moyet,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",Alison Moyet,0s0rOb0gT2S9N0SDcjtPC4
Alissa Violet,[],Alissa Violet,0eXDc4nH9o04fidVlbUecE
,[],Alive & Kicking,
Alive 'N Kickin',['bubblegum pop'],Alive 'N Kickin',6sIWmcJRaS1WZe5XPjRf0j
All City,[],All City,0VYyfOLiaaL7zBNEP1lqmU
All Saints,"['bubblegum dance', 'canadian pop', 'dance pop', 'europop', 'new wave pop', 'pop rock', 'uk garage']",All Saints,5TDVKqW9uhqGjwwwKGuma4
,[],All Sports Band,
All Star Tribute,['fake'],All Star Tribute,6imgPvjUxWkB5xtymEArjJ
All Time Low,"['emo', 'modern rock', 'pop punk', 'post-teen pop', 'punk christmas']",All Time Low,46gyXjRIvN1NL1eCB8GBxo
All the Rest,[],All the Rest,0jPw7eDzfyS83287e4nrDf
All-4-One,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'soul christmas', 'urban contemporary']",All-4-One,1B8ySGDAiXTCvnJNH4HSCG
Allan Clarke,[],Allan Clarke,1ebOaGhMQNXxR8tlKxBeG5
Allan Kingdom,['underground hip hop'],Allan Kingdom,1tUALn7PEhW7LpMuxvat2x
Allan Sherman,['comic'],Allan Sherman,1enLi8njBlk1YlDg44MtJm
Allure,[],Allure,1VPr8y4GGZJBtWyaoLdYUT
Aloe Blacc,['pop rap'],Aloe Blacc,0id62QV2SZZfvBn9xpmuCl
Alpha Rev,[],Alpha Rev,5fhX5cgW9CIJ363zTqAP3a
Alpha Team,[],Alpha Team,41vTbWnX2HzE7adssEER9I
Alpharock,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room']",Alpharock,629Fs7UJp6tWqOYZi8t8ET
