city_id,city_name,city_state,lat,lon
222,Cheyenne,Wyoming,41.25173,-104.56264
223,Rexburg,Idaho,43.79132,-111.771375
224,Boise,Idaho,43.603768,-116.272921
225,Orem,Utah,40.311353,-111.72496
226,Salt Lake City,Utah,40.756095,-111.900719
227,Ogden,Utah,41.244261,-112.007924
228,Provo,Utah,40.235053,-111.695558
229,Phoenix,Arizona,33.703967,-112.351835
230,Mesa,Arizona,33.440695,-111.856967
231,Chandler,Arizona,33.298461,-111.85062
232,Gilbert,Arizona,33.335401,-111.815281
233,Scottsdale,Arizona,33.524143,-111.874248
234,Tempe,Arizona,33.401395,-111.931298
235,Tucson,Arizona,32.217975,-110.970869
236,Flagstaff,Arizona,35.932116,-111.597853
237,Albuquerque,New Mexico,35.199592,-106.644831
238,Las Vegas,Nevada,36.17372,-115.10647
239,Reno,Nevada,39.65558,-119.704614
240,Los Angeles,California,33.973951,-118.248405
241,Beverly Hills,California,33.786594,-118.298662
242,Compton,California,33.874815000000005,-118.240208
243,Downey,California,33.786594,-118.298662
244,Maywood,California,33.988463,-118.187376
245,Santa Monica,California,33.786594,-118.298662
246,Torrance,California,33.83566500000001,-118.303805
247,Whittier,California,34.004311,-118.0441
248,Buena Park,California,33.640302,-117.769442
249,La Mirada,California,33.786594,-118.298662
250,Norwalk,California,33.906763,-118.076549
251,Wilmington,California,33.779416999999995,-118.253853
252,Long Beach,California,33.804309,-118.200957
253,Northridge,California,33.786594,-118.298662
254,Pacoima,California,33.786594,-118.298662
255,North Hills,California,33.786594,-118.298662
256,Woodland Hills,California,33.786594,-118.298662
257,Van Nuys,California,33.786594,-118.298662
258,North Hollywood,California,33.786594,-118.298662
259,Rancho Cucamonga,California,34.839964,-115.967051
260,Baldwin Park,California,33.786594,-118.298662
261,Covina,California,33.786594,-118.298662
262,La Puente,California,33.786594,-118.298662
263,Ontario,California,34.839964,-115.967051
264,Pomona,California,33.786594,-118.298662
265,West Covina,California,33.786594,-118.298662
266,Chula Vista,California,33.016928,-116.846046
267,Escondido,California,33.05712800000001,-117.083403
268,Oceanside,California,33.016928,-116.846046
269,San Diego,California,32.7211,-117.174366
270,Fontana,California,34.839964,-115.967051
271,San Bernardino,California,34.839964,-115.967051
272,Riverside,California,33.752886,-116.055617
273,Moreno Valley,California,33.752886,-116.055617
274,Perris,California,33.752886,-116.055617
275,Temecula,California,33.752886,-116.055617
276,Irvine,California,33.718018,-117.72222
277,Huntington Beach,California,33.640302,-117.769442
278,Costa Mesa,California,33.6829,-117.778398
279,Santa Ana,California,33.640302,-117.769442
280,Anaheim,California,33.640302,-117.769442
281,Fullerton,California,33.640302,-117.769442
282,Garden Grove,California,33.640302,-117.769442
283,Orange,California,33.640302,-117.769442
284,Corona,California,33.752886,-116.055617
285,Oxnard,California,34.224892,-119.17749
286,Bakersfield,California,35.48350100000001,-119.007662
287,San Luis Obispo,California,35.265573,-120.62122
288,Palmdale,California,33.786594,-118.298662
289,Fresno,California,36.8411,-119.801015
290,Salinas,California,36.441768,-121.416603
291,Daly City,California,37.686389,-122.468333
292,Menlo Park,California,37.439616,-122.186373
293,San Francisco,California,37.784827,-122.727802
294,Sacramento,California,38.380456,-121.555406
295,San Mateo,California,37.573485,-122.32253
296,Antioch,California,37.931997,-121.906748
297,Fremont,California,37.565285,-121.982721
298,Hayward,California,37.680181,-121.921498
299,Livermore,California,37.676781,-121.91605
300,San Leandro,California,37.715629,-122.158621
301,Vallejo,California,38.15822100000001,-122.280383
302,Oakland,California,37.786027,-122.223779
303,Berkeley,California,37.860576,-122.29673
304,Santa Cruz,California,37.052748,-122.111126
305,San Jose,California,37.189396,-121.705327
306,Stockton,California,37.672196,-121.298794
307,Elk Grove,California,38.44148,-121.307142
308,Roseville,California,38.74073,-121.25603
309,Chico,California,39.74615900000001,-121.840083
310,Penn Valley,California,39.21656,-121.117883
311,Redding,California,40.675738,-122.456982
312,Waipahu,Hawaii,21.399548,-158.015151
313,Honolulu,Hawaii,24.859832,-168.021815
314,Portland,Oregon,45.498931,-122.693157
315,Eugene,Oregon,44.117868,-123.074193
316,Bend,Oregon,44.082037,-121.227125
317,Auburn,Washington,47.465495,-121.821908
318,Federal Way,Washington,47.432251,-121.80338799999998
319,Kent,Washington,47.379972,-122.16538
320,Kirkland,Washington,47.673263,-122.187029
321,Redmond,Washington,47.678756,-122.121034
322,Renton,Washington,47.485348,-122.02967
323,Seattle,Washington,47.432251,-121.80338799999998
324,Puyallup,Washington,47.212822,-122.317148
325,Tacoma,Washington,47.253671,-122.444335
326,Vancouver,Washington,45.74327,-122.713366
327,Spokane,Washington,47.66264,-117.435997
328,Anchorage,Alaska,61.287624,-149.486981
