artist_id,artist_name
716ZwtZBmwROBXcFmCzfdM,Andrew McMahon in the Wilderness
7s8YNE4OYY44nrlSTAKLOD,Andrew Ridgeley
4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb
2oX42qP5ineK3hrhBECLmj,Andy Grammer
7CyJIUpcWZK2zFM6gKLKvD,Andy Griggs
5MYBNUKoFf9LAg30ByaBli,Andy Kim
52eo86qhuWj4zGGmof8smO,Andy Pratt
5xwYhjMTWJ66BjCvfcc6ii,Andy Stewart
4sj6D0zlMOl25nprDJBiU9,Andy Williams
6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen
1EIgKOrzyOQRB3l43EfymN,Angela Winbush
2xMPv7r6uppYaOJBXoMIXs,Angelina
6VJqy1YyzrK4ZhgGs9cNTy,Angie Martinez
2hWr3AjjKOCVmWcwvuT4uM,Angie Stone
6eQHjJJa52LUGjBKP5UPos,Animotion
46CH1Gp8l8QVly8bpG9JFG,Anita Baker
2M93P87MDGek6uzg7Jn7he,Anita Bryant
3Dd6jD1AApgtNoU6SJWR7P,Anita Ward
1Ig4eJhkfzDB2386DVJ0TQ,Ann Cole
5dM7jA0PXh0Ozz8LT2YOCB,Ann Peebles
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick
4LoM3lMauQ540MW9QiyIcR,Anna Nalick
0N41KJ4H6bkPAm2tx7VS8C,Anna Wise
0nIyPY7J7G68WgQEOLHn0x,Anne Hathaway
7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie
3ECxfxbxwRMTXdy1I5HWJq,Annette Moreno
5MspMQqdVbdwP6ax3GXqum,Annie Lennox
454VBUMshEg0sxzoWKTYbT,Another Bad Creation
3PF1KBeHYb14yKgsiE693V,Little Anthony & The Imperials
2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton
6xYBLeSMu1AqPsnUzEvx5n,Anya Marina
0AEDwJyvLfojF4iKEmJDMT,Anything Box
4Lm0pUvmisUHMdoky5ch2I,Apocalyptica
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo
7BFShZYHZNpWDPHZiVdC5U,April Stevens
1JHzh1ETQTMoFb2CgncnTL,April Wine
6kBjAFKyd0he7LiA5GQ3Gz,Aqua
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire
2HMuzFmTtwL4ur1zJNCU7f,Arcadia
1kupwLFpHALpmhp5qol8xH,Archie Bell & The Drells
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin
46VosWAvtZsBl7rvxufsWG,Argent
